transaction_id,amount,country,user_id,timestamp
4163,418.85,JP,28,1765733139.0554686
8211,1204.46,UK,8,1765733139.0554686
2274,1087.34,UK,30,1765733139.0554686
1092,1238.61,JP,27,1765733139.0554686
6814,225.73,JP,46,1765733139.0554686
6731,214.61,US,1,1765733139.0554686
1238,1553.31,US,14,1765733139.0554686
3711,762.36,IN,28,1765733139.0554686
3075,1056.36,JP,24,1765733139.0554686
7848,381.46,JP,16,1765733139.0554686
4078,931.7,IN,33,1765733139.0554686
9150,1371.03,JP,45,1765733139.0554686
7378,563.96,UK,3,1765733139.0554686
6103,659.88,US,32,1765733139.0554686
1466,1367.99,US,14,1765733139.0554686
8254,77.36,JP,23,1765733139.0554686
3340,1918.18,UK,25,1765733139.0554686
8878,1328.04,JP,10,1765733139.0554686
6164,1361.22,UK,37,1765733139.0554686
6378,1847.99,JP,35,1765733139.0554686
3329,1430.63,UK,19,1765733139.0554686
5941,668.43,JP,22,1765733139.0554686
2725,442.4,UK,16,1765733139.0554686
1748,1590.99,IN,3,1765733139.0554686
1484,1509.82,IN,5,1765733139.0559762
2559,1544.83,IN,44,1765733139.0559762
7979,817.5,US,23,1765733139.0559762
5436,479.53,IN,18,1765733139.0559762
6207,683.87,IN,28,1765733139.0559762
4964,488.8,JP,22,1765733139.0559762
1385,477.22,US,16,1765733139.0559762
6467,640.36,IN,33,1765733139.0559762
7043,164.41,IN,49,1765733139.0559762
4238,1243.32,IN,21,1765733139.0559762
5668,611.03,JP,47,1765733139.0559762
7027,1323.69,UK,40,1765733139.0559762
3083,738.19,JP,24,1765733139.0559762
9371,1811.15,US,13,1765733139.0559762
4929,1702.68,IN,17,1765733139.0559762
7990,1114.91,UK,4,1765733139.0559762
8185,810.07,IN,6,1765733139.0559762
5790,1771.67,IN,44,1765733139.0559762
6424,773.22,JP,12,1765733139.0559762
9529,1836.72,IN,11,1765733139.0559762
4436,248.21,UK,5,1765733139.0559762
9394,996.35,IN,8,1765733139.0559762
6037,1986.35,JP,34,1765733139.0559762
3875,1903.19,JP,18,1765733139.0559762
2867,1728.8,IN,32,1765733139.0559762
8077,1243.61,JP,1,1765733139.0559762
3584,341.51,IN,32,1765733139.0559762
9359,1227.57,US,25,1765733139.0559762
4883,1488.0,JP,3,1765733139.0559762
7143,810.6,UK,32,1765733139.0559762
3289,828.27,IN,36,1765733139.0559762
3723,1731.25,UK,41,1765733139.0559762
7527,1131.34,UK,11,1765733139.0559762
5226,1263.22,US,1,1765733139.0559762
2461,724.22,UK,36,1765733139.0559762
1391,491.65,US,34,1765733139.0559762
2811,57.37,US,18,1765733139.0559762
6823,268.05,UK,6,1765733139.0559762
7951,428.08,IN,14,1765733139.0559762
7979,361.29,US,4,1765733139.0559762
5291,1779.3,JP,23,1765733139.0559762
9881,1245.21,US,25,1765733139.0559762
5855,1162.19,IN,3,1765733139.0559762
2563,1497.22,JP,12,1765733139.0559762
8576,879.11,IN,44,1765733139.0559762
8565,53.92,JP,24,1765733139.0559762
3449,1783.19,IN,29,1765733139.0559762
1683,595.44,US,16,1765733139.0559762
2719,1764.14,UK,43,1765733139.0559762
4851,1628.65,UK,10,1765733139.0559762
5326,354.91,US,36,1765733139.0559762
7299,664.71,UK,43,1765733139.0559762
2161,647.47,JP,7,1765733139.0559762
3007,496.71,UK,16,1765733139.0559762
3229,1508.9,IN,13,1765733139.0559762
6161,842.28,JP,2,1765733139.0559762
9921,1082.14,US,11,1765733139.0559762
2886,1513.9,US,21,1765733139.0559762
3855,1214.54,UK,3,1765733139.0559762
3550,633.56,UK,36,1765733139.0559762
3426,86.9,US,11,1765733139.0559762
9474,170.52,JP,35,1765733139.0559762
8557,1768.0,US,3,1765733139.0559762
9042,1900.46,US,50,1765733139.0559762
8180,126.3,US,28,1765733139.0559762
1089,1996.7,UK,47,1765733139.0559762
1120,1150.98,IN,7,1765733139.0559762
